"filename", "language", "Vue", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\package-lock.json", "JSON", 0, 0, 43, 0, 0, 0, 43
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\public\signUp.html", "HTML", 0, 0, 0, -424, -3, -68, -495
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\App.vue", "Vue", 42, 0, 0, 0, 5, 4, 51
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\components\HeaderView.vue", "Vue", 66, 0, 0, 0, 1, 0, 67
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\components\ModalView.vue", "Vue", 66, 0, 0, 0, 0, 0, 66
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\components\StreamDisplay.vue", "Vue", 1, 0, 0, 0, 1, 0, 2
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\main.js", "JavaScript", 0, -1, 0, 0, 0, 0, -1
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\router\index.js", "JavaScript", 0, 39, 0, 0, 0, 2, 41
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\AuthView.vue", "Vue", 17, 0, 0, 0, 0, 0, 17
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\EditView.vue", "Vue", 450, 0, 0, 0, 7, 12, 469
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\HelpView.vue", "Vue", 78, 0, 0, 0, 0, 5, 83
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\HistoryView.vue", "Vue", 173, 0, 0, 0, 0, 9, 182
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\HomeView.vue", "Vue", 3, 0, 0, 0, 0, 0, 3
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\PPTView.vue", "Vue", 30, 0, 0, 0, 0, 1, 31
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\PersonView.vue", "Vue", 109, 0, 0, 0, 4, 6, 119
"d:\Download\Java\proj\PresentationGen\PresentationGen_Front_End\presentation_gen_front_end\src\views\UserView.vue", "Vue", 295, 0, 0, 0, 3, -1, 297
"Total", "-", 1330, 38, 43, -424, 18, -30, 975
